city_key,customer_key,order_date_key,order_key,package,picked_date_key,picker_key,quantity,salesperson_key,stock_item_key,tax_amount,City_Key_1,City,State_Province,Country,Continent,Sales_Territory,Region,Subregion,Latest_Recorded_Population,Bill_To_Customer,Buying_Group,Category,Customer,Customer_Key_1,Postal_Code,Primary_Contact,Brand,Buying_Package,Color,Is_Chiller_Stock,Lead_Time_Days,Quantity_Per_Outer,Recommended_Retail_Price,Selling_Package,Size_val,Stock_Item,Stock_Item_Key_1,Employee,Employee_Key,Is_Salesperson,Preferred_Name,Date_key,Day_Number,Day_val,Month_val,Short_Month,Calendar_Month_Number,Calendar_Year,Fiscal_Month_Number,Fiscal_Year,Date_key_1,Day_Number_1,Day_val_1,Month_val_1,Short_Month_1,Calendar_Month_Number_1,Calendar_Year_1,Fiscal_Month_Number_1,Fiscal_Year_1,Employee_1,Employee_Key_1,Is_Salesperson_1,Preferred_Name_1
1,248,2014-04-06,873,S,2013-07-16,174,163,5,21,465.28,1,Carrollton,New York,United States,North America,Mideast,Americas,Northern America,0,Wingtip Toys (Head Office),Wingtip Toys,Novelty Shop,Wingtip Toys (Coin- IA),248,90458,Premwadee Saowaluk,,Each,,false,14,24,553,Each,48mmx75m,Black and yellow heavy despatch tape  48mmx75m,21,Jai Shand,5,false,Jai,2014-04-06,6,6,April,Apr,4,2014,6,2014,2013-07-16,16,16,July,Jul,7,2013,9,2013,Lily Code,174,true,Lily
1,210,2013-12-23,735,S,2015-07-25,166,301,19,471,553.36,1,Carrollton,New York,United States,North America,Mideast,Americas,Northern America,0,Wingtip Toys (Head Office),Wingtip Toys,Novelty Shop,Wingtip Toys (Orick- CA),210,90329,Dimitry Nechita,Northwind,Each,Yellow,false,14,1,3738,Each,1/50 scale,RC toy sedan car with remote control (Yellow) 1/50 scale,471,Archer Lamble,19,true,Archer,2013-12-23,23,23,December,Dec,12,2013,2,2014,2015-07-25,25,25,July,Jul,7,2015,9,2015,Ethan Onslow,166,false,Ethan
2,361,2015-02-13,350,S,2016-12-16,182,119,184,263,146.13,2,Carrollton,Virginia,United States,North America,Southeast,Americas,Northern America,4574,Wingtip Toys (Head Office),Wingtip Toys,Novelty Shop,Wingtip Toys (Palmas del Mar- PR),361,90167,Flora Olofsson,,Each,Black,false,12,1,1944,Each,,Developer joke mug - understanding recursion requires understanding recursion (Black),263,Ethan Onslow,184,false,Ethan,2015-02-13,13,13,February,Feb,2,2015,4,2015,2016-12-16,16,16,December,Dec,12,2016,2,2017,Hudson Hollinworth,182,true,Hudson
2,221,2016-07-25,364,S,2016-09-24,116,374,100,239,195.01,2,Carrollton,Virginia,United States,North America,Southeast,Americas,Northern America,4574,Wingtip Toys (Head Office),Wingtip Toys,Novelty Shop,Wingtip Toys (Herlong- CA),221,90358,Premwadee Atitarn,,Each,,false,14,1,4784,Each,,USB food flash drive - shrimp cocktail,239,Stella Rosenhain,100,false,Stella,2016-07-25,25,25,July,Jul,7,2016,9,2016,2016-09-24,24,24,September,Sep,9,2016,11,2016,Kayla Woodcock,116,true,Kayla
2,269,2015-03-10,371,XL,2014-11-22,88,215,8,590,203.51,2,Carrollton,Virginia,United States,North America,Southeast,Americas,Northern America,4574,Wingtip Toys (Head Office),Wingtip Toys,Novelty Shop,Wingtip Toys (Sunburg- MN),269,90477,Linda Green,,Each,Black,false,12,1,1944,Each,,IT joke mug - hardware: part of the computer that can be kicked (Black),590,Hudson Hollinworth,8,true,Hudson,2015-03-10,10,10,March,Mar,3,2015,5,2015,2014-11-22,22,22,November,Nov,11,2014,1,2015,Isabella Rupp,88,false,Isabella
3,206,2015-12-17,499,S,2014-08-22,47,638,18,376,278.32,3,Carrollton,Illinois,United States,North America,Great Lakes,Americas,Northern America,2484,Wingtip Toys (Head Office),Wingtip Toys,Novelty Shop,Wingtip Toys (Bourbonnais- IL),206,90582,Miran Nikolic,,Each,,false,12,1,4784,Each,XL,Dinosaur battery-powered slippers (Green) XL,376,Eva Muirden,18,false,Eva,2015-12-17,17,17,December,Dec,12,2015,2,2016,2014-08-22,22,22,August,Aug,8,2014,10,2014,Anthony Grosse,47,true,Anthony
3,251,2013-05-17,444,S,2015-08-08,181,155,166,56,580.36,3,Carrollton,Illinois,United States,North America,Great Lakes,Americas,Northern America,2484,Wingtip Toys (Head Office),Wingtip Toys,Novelty Shop,Wingtip Toys (Mount Summit- IN),251,90142,Constanza Laureano,,Each,,false,14,10,16744,Each,50m,32 mm Double sided bubble wrap 50m,56,Ethan Onslow,166,false,Ethan,2013-05-17,17,17,May,May,5,2013,7,2013,2015-08-08,8,8,August,Aug,8,2015,10,2015,Lily Code,181,true,Lily
3,376,2014-06-19,251,XL,2016-07-10,140,567,112,605,939.41,3,Carrollton,Illinois,United States,North America,Great Lakes,Americas,Northern America,2484,Wingtip Toys (Head Office),Wingtip Toys,Novelty Shop,Wingtip Toys (Trumansburg- NY),376,90482,Dattaatraeya Tottempudi,,Each,,false,14,10,673,Each,10m,Small sized bubblewrap roll 10m,605,Alica Fatnowna,112,false,Alica,2014-06-19,19,19,June,Jun,6,2014,8,2014,2016-07-10,10,10,July,Jul,7,2016,9,2016,Lily Code,140,true,Lily
3,376,2014-02-10,6,S,2013-06-05,181,727,135,124,552.8,3,Carrollton,Illinois,United States,North America,Great Lakes,Americas,Northern America,2484,Wingtip Toys (Head Office),Wingtip Toys,Novelty Shop,Wingtip Toys (Trumansburg- NY),376,90482,Dattaatraeya Tottempudi,,Carton,Black,false,7,12,2691,Each,XXL,The Gu red shirt XML tag t-shirt (Black) XXL,124,Alica Fatnowna,135,false,Alica,2014-02-10,10,10,February,Feb,2,2014,4,2014,2013-06-05,5,5,June,Jun,6,2013,8,2013,Lily Code,181,true,Lily
3,288,2013-09-05,912,S,2016-02-15,83,691,4,13,618.02,3,Carrollton,Illinois,United States,North America,Great Lakes,Americas,Northern America,2484,Wingtip Toys (Head Office),Wingtip Toys,Novelty Shop,Wingtip Toys (Elverson- PA),288,90147,Jan Zeman,,Each,,false,14,12,404,Each,5mm,Permanent marker blue 5mm nib (Blue) 5mm,13,Amy Trefl,4,true,Amy,2013-09-05,5,5,September,Sep,9,2013,11,2013,2016-02-15,15,15,February,Feb,2,2016,4,2016,Amy Trefl,83,true,Amy
3,289,2013-10-31,163,S,2015-03-08,130,763,175,249,341.72,3,Carrollton,Illinois,United States,North America,Great Lakes,Americas,Northern America,2484,Wingtip Toys (Head Office),Wingtip Toys,Novelty Shop,Wingtip Toys (Isabela- PR),289,90320,Ranjit Dikshit,,Each,Black,false,12,1,1944,Each,,IT joke mug - hardware: part of the computer that can be kicked (Black),249,Jack Potter,175,true,Jack,2013-10-31,31,31,October,Oct,10,2013,12,2013,2015-03-08,8,8,March,Mar,3,2015,5,2015,Hudson Hollinworth,130,true,Hudson
3,262,2014-08-04,863,S,2015-11-08,155,477,12,477,631.42,3,Carrollton,Illinois,United States,North America,Great Lakes,Americas,Northern America,2484,Wingtip Toys (Head Office),Wingtip Toys,Novelty Shop,Wingtip Toys (Vair- TX),262,90707,Ganesh Mukherjee,,Carton,Light Brown,false,12,12,2691,Each,S,Halloween zombie mask (Light Brown) S,477,Sophia Hinton,12,true,Sophia,2014-08-04,4,4,August,Aug,8,2014,10,2014,2015-11-08,8,8,November,Nov,11,2015,1,2016,Amy Trefl,155,true,Amy
4,210,2013-08-01,193,S,2016-01-14,45,282,210,540,913.62,4,Carrollton,Missouri,United States,North America,Plains,Americas,Northern America,3784,Wingtip Toys (Head Office),Wingtip Toys,Novelty Shop,Wingtip Toys (Orick- CA),210,90329,Dimitry Nechita,,Each,,false,14,1,4784,Each,,USB food flash drive - donut,540,Katie Darwin,210,false,Katie,2013-08-01,1,1,August,Aug,8,2013,10,2013,2016-01-14,14,14,January,Jan,1,2016,3,2016,Lily Code,45,true,Lily
4,325,2014-05-30,869,S,2015-12-07,103,518,120,657,616.58,4,Carrollton,Missouri,United States,North America,Plains,Americas,Northern America,3784,Wingtip Toys (Head Office),Wingtip Toys,Novelty Shop,Wingtip Toys (Cloquet- MN),325,90639,Baalaamani Veturi,,Each,,false,20,10,4784,Each,,Tape dispenser (Blue),657,Stella Rosenhain,120,false,Stella,2014-05-30,30,30,May,May,5,2014,7,2014,2015-12-07,7,7,December,Dec,12,2015,2,2016,Amy Trefl,103,true,Amy
4,211,2013-04-12,983,M,2015-09-14,49,685,35,149,796.39,4,Carrollton,Missouri,United States,North America,Plains,Americas,Northern America,3784,Wingtip Toys (Head Office),Wingtip Toys,Novelty Shop,Wingtip Toys (Bernstein- TX),211,90314,Miroslav Kohout,Northwind,Each,Yellow,false,14,1,34385,Each,1/12 scale,Ride on toy sedan car (Yellow) 1/12 scale,149,Amy Trefl,35,true,Amy,2013-04-12,12,12,April,Apr,4,2013,6,2013,2015-09-14,14,14,September,Sep,9,2015,11,2015,Hudson Onslow,49,true,Hudson
4,224,2016-05-12,594,M,2015-10-16,131,691,49,119,868.82,4,Carrollton,Missouri,United States,North America,Plains,Americas,Northern America,3784,Wingtip Toys (Head Office),Wingtip Toys,Novelty Shop,Wingtip Toys (Baldwin City- KS),224,90351,Aamdaal Kamasamudram,,Carton,Black,false,7,12,2691,Each,7XL,The Gu red shirt XML tag t-shirt (Black) 7XL,119,Hudson Onslow,49,true,Hudson,2016-05-12,12,12,May,May,5,2016,7,2016,2015-10-16,16,16,October,Oct,10,2015,12,2015,Jai Shand,131,false,Jai
4,342,2016-05-21,860,S,2013-09-09,138,895,25,422,645.57,4,Carrollton,Missouri,United States,North America,Plains,Americas,Northern America,3784,Wingtip Toys (Head Office),Wingtip Toys,Novelty Shop,Wingtip Toys (Mickleton- NJ),342,90751,Angelina Gormanston,,Carton,Black,false,7,12,2691,Each,5XL,The Gu red shirt XML tag t-shirt (Black) 5XL,422,Anthony Grosse,25,true,Anthony,2016-05-21,21,21,May,May,5,2016,7,2016,2013-09-09,9,9,September,Sep,9,2013,11,2013,Jack Potter,138,true,Jack
5,371,2013-11-05,868,M,2016-04-12,49,491,55,433,149.75,5,Carrollton,Ohio,United States,North America,Great Lakes,Americas,Northern America,3241,Wingtip Toys (Head Office),Wingtip Toys,Novelty Shop,Wingtip Toys (Flomaton- AL),371,90134,Vallo Vesik,,Each,Blue,false,12,1,3738,Each,S,Superhero action jacket (Blue) S,433,Isabella Rupp,55,false,Isabella,2013-11-05,5,5,November,Nov,11,2013,1,2014,2016-04-12,12,12,April,Apr,4,2016,6,2016,Hudson Onslow,49,true,Hudson
5,298,2015-09-04,320,M,2013-11-13,145,189,43,428,906.83,5,Carrollton,Ohio,United States,North America,Great Lakes,Americas,Northern America,3241,Wingtip Toys (Head Office),Wingtip Toys,Novelty Shop,Wingtip Toys (Verdery- SC),298,90108,Vitezslav Holy,,Each,Black,false,12,1,5233,Each,4XL,Alien officer hoodie (Black) 4XL,428,Stella Rosenhain,43,false,Stella,2015-09-04,4,4,September,Sep,9,2015,11,2015,2013-11-13,13,13,November,Nov,11,2013,1,2014,Hudson Onslow,145,true,Hudson
5,222,2016-02-28,462,S,2016-12-06,16,945,179,378,771.5,5,Carrollton,Ohio,United States,North America,Great Lakes,Americas,Northern America,3241,Wingtip Toys (Head Office),Wingtip Toys,Novelty Shop,Wingtip Toys (Highland Home- AL),222,90035,Nishant Patil,,Each,,false,12,1,4784,Each,M,Dinosaur battery-powered slippers (Green) M,378,Archer Lamble,179,true,Archer,2016-02-28,28,28,February,Feb,2,2016,4,2016,2016-12-06,6,6,December,Dec,12,2016,2,2017,Katie Darwin,16,false,Katie
5,231,2014-11-19,298,S,2015-06-27,99,138,151,529,621.87,5,Carrollton,Ohio,United States,North America,Great Lakes,Americas,Northern America,3241,Wingtip Toys (Head Office),Wingtip Toys,Novelty Shop,Wingtip Toys (Lost River- ID),231,90272,Lakshmi Roy,,Each,Black,false,12,1,4784,Each,S,Furry gorilla with big eyes slippers (Black) S,529,Hudson Hollinworth,151,true,Hudson,2014-11-19,19,19,November,Nov,11,2014,1,2015,2015-06-27,27,27,June,Jun,6,2015,8,2015,Piper Koch,99,false,Piper
6,252,2013-05-29,550,L,2013-04-10,169,76,24,344,863.25,6,Carrollton,Kentucky,United States,North America,Southeast,Americas,Northern America,3938,Wingtip Toys (Head Office),Wingtip Toys,Novelty Shop,Wingtip Toys (Smoot- WY),252,90071,Aakriti Bhamidipati,,Each,Blue,false,14,10,4336,Each,10m,20 mm Anti static bubble wrap (Blue) 10m,344,Jai Shand,24,false,Jai,2013-05-29,29,29,May,May,5,2013,7,2013,2013-04-10,10,10,April,Apr,4,2013,6,2013,Alica Fatnowna,169,false,Alica
6,208,2013-04-05,592,S,2016-10-13,160,104,146,35,850.7,6,Carrollton,Kentucky,United States,North America,Southeast,Americas,Northern America,3938,Wingtip Toys (Head Office),Wingtip Toys,Novelty Shop,Wingtip Toys (Mooringsport- LA),208,90387,Lang Le,,Each,,false,14,25,305,Each,356x356x279mm,Shipping carton (Brown) 356x356x279mm,35,Piper Koch,146,false,Piper,2013-04-05,5,5,April,Apr,4,2013,6,2013,2016-10-13,13,13,October,Oct,10,2016,12,2016,Ethan Onslow,160,false,Ethan
6,375,2013-11-18,376,S,2013-02-01,78,671,155,219,529.49,6,Carrollton,Kentucky,United States,North America,Southeast,Americas,Northern America,3938,Wingtip Toys (Head Office),Wingtip Toys,Novelty Shop,Wingtip Toys (Molalla- OR),375,90761,Monika Valentova,,Each,,false,14,1,3738,Each,,USB missile launcher (Green),219,Amy Trefl,155,true,Amy,2013-11-18,18,18,November,Nov,11,2013,1,2014,2013-02-01,1,1,February,Feb,2,2013,4,2013,Amy Trefl,78,true,Amy
6,310,2014-02-23,874,L,2014-10-18,46,953,97,211,637.62,6,Carrollton,Kentucky,United States,North America,Southeast,Americas,Northern America,3938,Wingtip Toys (Head Office),Wingtip Toys,Novelty Shop,Wingtip Toys (Bergen Park- CO),310,90278,Matej Formanek,,Each,,false,14,1,4784,Each,,USB food flash drive - banana,211,Taj Shand,97,true,Taj,2014-02-23,23,23,February,Feb,2,2014,4,2014,2014-10-18,18,18,October,Oct,10,2014,12,2014,Anthony Grosse,46,true,Anthony
6,263,2014-12-31,287,M,2016-05-29,114,591,129,207,398.4,6,Carrollton,Kentucky,United States,North America,Southeast,Americas,Northern America,3938,Wingtip Toys (Head Office),Wingtip Toys,Novelty Shop,Wingtip Toys (Crossroads- NM),263,90068,Avanti Nishad,,Each,,false,14,1,4784,Each,,USB food flash drive - shrimp cocktail,207,Taj Shand,129,true,Taj,2014-12-31,31,31,December,Dec,12,2014,2,2015,2016-05-29,29,29,May,May,5,2016,7,2016,Jai Shand,114,false,Jai
6,205,2014-06-23,792,S,2014-06-19,138,371,144,88,900.97,6,Carrollton,Kentucky,United States,North America,Southeast,Americas,Northern America,3938,Wingtip Toys (Head Office),Wingtip Toys,Novelty Shop,Wingtip Toys (Penns Creek- PA),205,90195,Duleep Srivastava,,Each,Black,false,12,1,4784,Each,L,Furry gorilla with big eyes slippers (Black) L,88,Jack Potter,144,true,Jack,2014-06-23,23,23,June,Jun,6,2014,8,2014,2014-06-19,19,19,June,Jun,6,2014,8,2014,Jack Potter,138,true,Jack
6,332,2013-06-23,170,S,2016-04-11,19,63,192,18,139.52,6,Carrollton,Kentucky,United States,North America,Southeast,Americas,Northern America,3938,Wingtip Toys (Head Office),Wingtip Toys,Novelty Shop,Wingtip Toys (Omer- MI),332,90228,Javier Caraballo,,Each,,false,14,24,613,Each,48mmx100m,Red and white urgent  heavy despatch tape  48mmx100m,18,Hudson Onslow,192,true,Hudson,2013-06-23,23,23,June,Jun,6,2013,8,2013,2016-04-11,11,11,April,Apr,4,2016,6,2016,Archer Lamble,19,true,Archer
6,340,2013-06-26,561,L,2013-04-18,127,177,182,649,722.27,6,Carrollton,Kentucky,United States,North America,Southeast,Americas,Northern America,3938,Wingtip Toys (Head Office),Wingtip Toys,Novelty Shop,Wingtip Toys (Nuangola- PA),340,90156,Bich Banh,,Each,,false,14,24,553,Each,48mmx75m,Black and orange this way up despatch tape 48mmx75m,649,Hudson Hollinworth,182,true,Hudson,2013-06-26,26,26,June,Jun,6,2013,8,2013,2013-04-18,18,18,April,Apr,4,2013,6,2013,Sophia Hinton,127,true,Sophia
7,354,2013-12-24,988,M,2014-03-23,3,851,102,412,876.56,7,Carrollton,Georgia,United States,North America,Southeast,Americas,Northern America,24388,Wingtip Toys (Head Office),Wingtip Toys,Novelty Shop,Wingtip Toys (Helotes- TX),354,90119,Ilgonis Dzenis,,Carton,Black,false,7,12,2691,Each,3XS,The Gu red shirt XML tag t-shirt (Black) 3XS,412,Jack Potter,102,true,Jack,2013-12-24,24,24,December,Dec,12,2013,2,2014,2014-03-23,23,23,March,Mar,3,2014,5,2014,Ethan Onslow,3,false,Ethan
8,281,2016-09-06,76,M,2016-06-04,198,62,141,40,488.3,8,Carrollton,Alabama,United States,North America,Southeast,Americas,Northern America,1019,Wingtip Toys (Head Office),Wingtip Toys,Novelty Shop,Wingtip Toys (Wapinitia- OR),281,90173,Dhaeraemdranaadh Pamulaparthi,,Each,,false,14,25,166,Each,279x254x217mm,Shipping carton (Brown) 279x254x217mm,40,Jai Shand,141,false,Jai,2016-09-06,6,6,September,Sep,9,2016,11,2016,2016-06-04,4,4,June,Jun,6,2016,8,2016,Sophia Hinton,198,true,Sophia
8,238,2015-08-28,933,M,2015-03-13,134,586,59,467,329.99,8,Carrollton,Alabama,United States,North America,Southeast,Americas,Northern America,1019,Wingtip Toys (Head Office),Wingtip Toys,Novelty Shop,Wingtip Toys (Cadogan- PA),238,90357,Vanja Grgic,Northwind,Each,Black,false,14,1,3738,Each,1/50 scale,RC toy sedan car with remote control (Black) 1/50 scale,467,Piper Koch,59,false,Piper,2015-08-28,28,28,August,Aug,8,2015,10,2015,2015-03-13,13,13,March,Mar,3,2015,5,2015,Hudson Hollinworth,134,true,Hudson
8,382,2013-01-28,582,S,2015-07-15,22,504,177,240,488.01,8,Carrollton,Alabama,United States,North America,Southeast,Americas,Northern America,1019,Wingtip Toys (Head Office),Wingtip Toys,Novelty Shop,Wingtip Toys (Munich- ND),382,90334,Youssef Eriksson,,Each,,false,14,1,4784,Each,,USB food flash drive - donut,240,Katie Darwin,177,false,Katie,2013-01-28,28,28,January,Jan,1,2013,3,2013,2015-07-15,15,15,July,Jul,7,2015,9,2015,Ethan Onslow,22,false,Ethan
8,305,2013-11-28,806,M,2016-05-06,64,127,61,184,355.7,8,Carrollton,Alabama,United States,North America,Southeast,Americas,Northern America,1019,Wingtip Toys (Head Office),Wingtip Toys,Novelty Shop,Wingtip Toys (Cape Neddick- ME),305,90296,Mariela Weitzer,,Each,White,false,12,1,1944,Each,,Developer joke mug - when your hammer is C++ (White),184,Lily Code,61,true,Lily,2013-11-28,28,28,November,Nov,11,2013,1,2014,2016-05-06,6,6,May,May,5,2016,7,2016,Jai Shand,64,false,Jai
8,232,2015-10-06,542,L,2016-12-13,106,717,168,93,807.42,8,Carrollton,Alabama,United States,North America,Southeast,Americas,Northern America,1019,Wingtip Toys (Head Office),Wingtip Toys,Novelty Shop,Wingtip Toys (Rosa Sanchez- PR),232,90726,Selma Seppanen,,Each,Gray,false,12,1,4784,Each,M,Plush shark slippers (Gray) M,93,Jack Potter,168,true,Jack,2015-10-06,6,6,October,Oct,10,2015,12,2015,2016-12-13,13,13,December,Dec,12,2016,2,2017,Anthony Grosse,106,true,Anthony
8,245,2015-05-27,337,S,2014-12-09,8,514,154,524,883.29,8,Carrollton,Alabama,United States,North America,Southeast,Americas,Northern America,1019,Wingtip Toys (Head Office),Wingtip Toys,Novelty Shop,Wingtip Toys (Tea- SD),245,90641,Divyendu Chakraborty,,Each,,false,12,1,4784,Each,XL,Ogre battery-powered slippers (Green) XL,524,Sophia Hinton,154,true,Sophia,2015-05-27,27,27,May,May,5,2015,7,2015,2014-12-09,9,9,December,Dec,12,2014,2,2015,Hudson Hollinworth,8,true,Hudson
8,218,2015-04-04,4,S,2014-12-03,191,878,84,157,668.65,8,Carrollton,Alabama,United States,North America,Southeast,Americas,Northern America,1019,Wingtip Toys (Head Office),Wingtip Toys,Novelty Shop,Wingtip Toys (Chetek- WI),218,90193,Chandranath Bose,Northwind,Each,,false,14,1,3738,Each,1/50 scale,RC toy sedan car with remote control (Pink) 1/50 scale,157,Anthony Grosse,84,true,Anthony,2015-04-04,4,4,April,Apr,4,2015,6,2015,2014-12-03,3,3,December,Dec,12,2014,2,2015,Isabella Rupp,191,false,Isabella
8,375,2016-11-11,80,L,2013-08-16,36,376,143,386,979.48,8,Carrollton,Alabama,United States,North America,Southeast,Americas,Northern America,1019,Wingtip Toys (Head Office),Wingtip Toys,Novelty Shop,Wingtip Toys (Molalla- OR),375,90761,Monika Valentova,,Carton,Light Brown,false,12,12,2691,Each,M,Halloween zombie mask (Light Brown) M,386,Kayla Woodcock,143,true,Kayla,2016-11-11,11,11,November,Nov,11,2016,1,2017,2013-08-16,16,16,August,Aug,8,2013,10,2013,Taj Shand,36,true,Taj
9,379,2014-06-18,161,M,2014-03-24,49,275,184,41,531.57,9,Carrollton,Mississippi,United States,North America,Southeast,Americas,Northern America,190,Wingtip Toys (Head Office),Wingtip Toys,Novelty Shop,Wingtip Toys (Bell Acres- PA),379,90526,Abhra Thakur,,Each,,false,14,25,157,Each,229x229x229mm,Shipping carton (Brown) 229x229x229mm,41,Ethan Onslow,184,false,Ethan,2014-06-18,18,18,June,Jun,6,2014,8,2014,2014-03-24,24,24,March,Mar,3,2014,5,2014,Hudson Onslow,49,true,Hudson
9,221,2015-11-06,836,X,2015-03-23,147,634,144,560,949.03,9,Carrollton,Mississippi,United States,North America,Southeast,Americas,Northern America,190,Wingtip Toys (Head Office),Wingtip Toys,Novelty Shop,Wingtip Toys (Herlong- CA),221,90358,Premwadee Atitarn,,Each,Black,false,12,1,1944,Each,,DBA joke mug - SELECT caffeine FROM mug (Black),560,Jack Potter,144,true,Jack,2015-11-06,6,6,November,Nov,11,2015,1,2016,2015-03-23,23,23,March,Mar,3,2015,5,2015,Piper Koch,147,false,Piper
9,265,2013-12-10,228,S,2014-12-01,117,312,149,353,238.28,9,Carrollton,Mississippi,United States,North America,Southeast,Americas,Northern America,190,Wingtip Toys (Head Office),Wingtip Toys,Novelty Shop,Wingtip Toys (Glen Ullin- ND),265,90380,Gabriela Chirila,,Each,,false,14,10,2691,Each,10m,20 mm Double sided bubble wrap 10m,353,Jack Potter,149,true,Jack,2013-12-10,10,10,December,Dec,12,2013,2,2014,2014-12-01,1,1,December,Dec,12,2014,2,2015,Katie Darwin,117,false,Katie
10,216,2014-08-08,63,X,2015-09-20,148,981,79,206,506.9,10,Carrollton,Texas,United States,North America,Southwest,Americas,Northern America,119097,Wingtip Toys (Head Office),Wingtip Toys,Novelty Shop,Wingtip Toys (Leathersville- GA),216,90402,Maurice English,,Each,,false,14,1,4784,Each,,USB food flash drive - fortune cookie,206,Ethan Onslow,79,false,Ethan,2014-08-08,8,8,August,Aug,8,2014,10,2014,2015-09-20,20,20,September,Sep,9,2015,11,2015,Ethan Onslow,148,false,Ethan
10,299,2015-10-22,286,S,2014-09-08,48,316,155,6,537.36,10,Carrollton,Texas,United States,North America,Southwest,Americas,Northern America,119097,Wingtip Toys (Head Office),Wingtip Toys,Novelty Shop,Wingtip Toys (Obetz- OH),299,90143,Devi Dewangan,,Each,,false,14,1,13455,Each,325m,Air cushion film 200mmx200mm 325m,6,Amy Trefl,155,true,Amy,2015-10-22,22,22,October,Oct,10,2015,12,2015,2014-09-08,8,8,September,Sep,9,2014,11,2014,Lily Code,48,true,Lily
10,310,2014-05-23,484,S,2014-05-15,172,73,155,125,585.27,10,Carrollton,Texas,United States,North America,Southwest,Americas,Northern America,119097,Wingtip Toys (Head Office),Wingtip Toys,Novelty Shop,Wingtip Toys (Bergen Park- CO),310,90278,Matej Formanek,,Carton,Black,false,7,12,2691,Each,XL,The Gu red shirt XML tag t-shirt (Black) XL,125,Amy Trefl,155,true,Amy,2014-05-23,23,23,May,May,5,2014,7,2014,2014-05-15,15,15,May,May,5,2014,7,2014,Hudson Hollinworth,172,true,Hudson
10,328,2014-02-07,7,S,2016-07-29,11,679,105,44,770.8,10,Carrollton,Texas,United States,North America,Southwest,Americas,Northern America,119097,Wingtip Toys (Head Office),Wingtip Toys,Novelty Shop,Wingtip Toys (Islip Terrace- NY),328,90778,Mario Jogi,,Each,Red,false,14,1,35880,Each,1.5m,Bubblewrap dispenser (Red) 1.5m,44,Hudson Onslow,105,true,Hudson,2014-02-07,7,7,February,Feb,2,2014,4,2014,2016-07-29,29,29,July,Jul,7,2016,9,2016,Hudson Onslow,11,true,Hudson
10,233,2013-09-08,580,S,2016-01-06,127,866,172,309,782.56,10,Carrollton,Texas,United States,North America,Southwest,Americas,Northern America,119097,Wingtip Toys (Head Office),Wingtip Toys,Novelty Shop,Wingtip Toys (Vamo- FL),233,90333,Bay Ly,,Each,,false,20,10,4784,Each,,Tape dispenser (Black),309,Hudson Hollinworth,172,true,Hudson,2013-09-08,8,8,September,Sep,9,2013,11,2013,2016-01-06,6,6,January,Jan,1,2016,3,2016,Sophia Hinton,127,true,Sophia
11,284,2015-11-06,691,M,2014-01-06,85,837,176,502,847.79,11,Carrollton Manor,Maryland,United States,North America,Mideast,Americas,Northern America,0,Wingtip Toys (Head Office),Wingtip Toys,Novelty Shop,Wingtip Toys (Plum Branch- SC),284,90631,Klara Rakus,,Each,Black,false,12,1,4784,Each,L,Furry gorilla with big eyes slippers (Black) L,502,Jai Shand,176,false,Jai,2015-11-06,6,6,November,Nov,11,2015,1,2016,2014-01-06,6,6,January,Jan,1,2014,3,2014,Hudson Hollinworth,85,true,Hudson
